id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
EcaXPn1g;BRAZIL;SERIE A;2015;09.05.2015;Palmeiras;Atletico-MG;0;0;2;2;"81;90";"50;85";1.7;3.5;5.25;2.25;2.1;https://www.flashscore.com/match/EcaXPn1g/#/
S0P6vnGn;BRAZIL;SERIE A;2015;09.05.2015;Chapecoense-SC;Coritiba;1;1;2;1;"29;65";3;2.15;3.1;3.6;2.35;2;https://www.flashscore.com/match/S0P6vnGn/#/
S03yP6Ga;BRAZIL;SERIE A;2015;09.05.2015;Fluminense;Joinville;0;0;1;0;87;;1.57;3.75;6;2.2;2.1;https://www.flashscore.com/match/S03yP6Ga/#/
0E1qNpoC;BRAZIL;SERIE A;2015;10.05.2015;Gremio;Ponte Preta;1;0;3;3;"25;55;79";"63;65;90";1.6;3.75;5.75;2.35;2.38;https://www.flashscore.com/match/0E1qNpoC/#/
pxz2uS0t;BRAZIL;SERIE A;2015;10.05.2015;Sport Recife;Figueirense;1;0;4;1;"20;64;78;88";68;1.67;3.6;5.25;2.25;2.2;https://www.flashscore.com/match/pxz2uS0t/#/
WY9SQSom;BRAZIL;SERIE A;2015;10.05.2015;Sao Paulo;Flamengo RJ;0;0;2;1;"74;80";86;2.1;3.5;3.25;2.25;2;https://www.flashscore.com/match/WY9SQSom/#/
IkdlM40I;BRAZIL;SERIE A;2015;10.05.2015;Cruzeiro;Corinthians;0;0;0;1;;82;2.75;3.1;2.63;2.3;1.91;https://www.flashscore.com/match/IkdlM40I/#/
Aqqzp8hP;BRAZIL;SERIE A;2015;10.05.2015;Athletico-PR;Internacional;1;0;3;0;"14;66;69";;2.15;3.2;3.5;2.25;1.91;https://www.flashscore.com/match/Aqqzp8hP/#/
MN2uOQV5;BRAZIL;SERIE A;2015;10.05.2015;Vasco;Goias;0;0;0;0;;;1.62;3.6;5.75;2.25;2.2;https://www.flashscore.com/match/MN2uOQV5/#/
dtehLOFO;BRAZIL;SERIE A;2015;10.05.2015;Avai;Santos;0;1;1;1;64;27;3.5;3.3;2.1;2.1;1.83;https://www.flashscore.com/match/dtehLOFO/#/
pbBxh5pn;BRAZIL;SERIE A;2015;16.05.2015;Goias;Athletico-PR;0;0;2;0;"54;80";;2.25;3.1;3.4;2.5;2.1;https://www.flashscore.com/match/pbBxh5pn/#/
67CYhoVu;BRAZIL;SERIE A;2015;16.05.2015;Coritiba;Gremio;2;0;2;0;"26;33";;2.3;3.25;3.1;2.6;2.2;https://www.flashscore.com/match/67CYhoVu/#/
6iOAw6Vh;BRAZIL;SERIE A;2015;16.05.2015;Corinthians;Chapecoense-SC;1;0;1;0;27;;1.67;3.6;5.5;2.5;2.2;https://www.flashscore.com/match/6iOAw6Vh/#/
rcJZX1aU;BRAZIL;SERIE A;2015;17.05.2015;Figueirense;Vasco;0;0;0;0;;;2.45;3.1;3;2.4;2;https://www.flashscore.com/match/rcJZX1aU/#/
zRSExQpa;BRAZIL;SERIE A;2015;17.05.2015;Santos;Cruzeiro;1;0;1;0;44;;1.75;3.6;4.6;2.1;2;https://www.flashscore.com/match/zRSExQpa/#/
dtHNz4FB;BRAZIL;SERIE A;2015;17.05.2015;Flamengo RJ;Sport Recife;0;1;2;2;"73;90";"45;68";1.62;3.75;5.5;2.08;2;https://www.flashscore.com/match/dtHNz4FB/#/
46KVYspO;BRAZIL;SERIE A;2015;17.05.2015;Atletico-MG;Fluminense;2;0;4;1;"6;36;52;81";88;2;3.2;4;2.15;1.91;https://www.flashscore.com/match/46KVYspO/#/
EHRIyp05;BRAZIL;SERIE A;2015;17.05.2015;Ponte Preta;Sao Paulo;1;0;1;0;13;;3;3.2;2.4;2.2;1.83;https://www.flashscore.com/match/EHRIyp05/#/
vLAtiPah;BRAZIL;SERIE A;2015;17.05.2015;Joinville;Palmeiras;0;0;0;0;;;3.25;3.1;2.3;2.3;1.91;https://www.flashscore.com/match/vLAtiPah/#/
