id_jogo;nacao;campeonato;ano;dia;home;away;HTHG;HTAG;FTHG;FTAG;home_goal_timings;away_goal_timings;odd_home;odd_draw;odd_away;over25;btts;endereco
Acuwc2fe;BRAZIL;SERIE B;2011;20.05.2011;Salgueiro;Sao Caetano;1;0;1;1;;;2.88;3.4;2.38;2.04;1.5;https://www.flashscore.com/match/Acuwc2fe/#/
INroetP7;BRAZIL;SERIE B;2011;20.05.2011;Goias;Barueri;0;0;1;0;;;1.57;4.0;5.5;1.8;1.5;https://www.flashscore.com/match/INroetP7/#/
pA8744HR;BRAZIL;SERIE B;2011;20.05.2011;Bragantino;ABC;1;1;1;1;;;1.91;3.3;4.2;1.95;1.5;https://www.flashscore.com/match/pA8744HR/#/
xlktJqHE;BRAZIL;SERIE B;2011;21.05.2011;Vitoria;Vila Nova FC;0;0;1;0;;;1.44;4.33;7.0;1.85;1.5;https://www.flashscore.com/match/xlktJqHE/#/
lriUbOPr;BRAZIL;SERIE B;2011;21.05.2011;Sport Recife;Icasa;1;0;1;0;;;1.7;3.6;5.0;1.8;1.5;https://www.flashscore.com/match/lriUbOPr/#/
CdAa6QnF;BRAZIL;SERIE B;2011;21.05.2011;Portuguesa;Nautico;1;0;4;0;;;1.75;3.6;4.5;1.9;1.5;https://www.flashscore.com/match/CdAa6QnF/#/
jm935p2L;BRAZIL;SERIE B;2011;21.05.2011;Ponte Preta;ASA;4;0;5;0;;;1.5;4.0;6.5;1.8;1.5;https://www.flashscore.com/match/jm935p2L/#/
W6tZcruk;BRAZIL;SERIE B;2011;21.05.2011;Guaratingueta;Duque de Caxias;0;0;1;1;;;1.8;3.6;4.33;1.85;1.5;https://www.flashscore.com/match/W6tZcruk/#/
vXqsdM91;BRAZIL;SERIE B;2011;21.05.2011;Criciuma;Guarani;0;0;2;2;;;1.7;3.6;5.0;1.95;1.5;https://www.flashscore.com/match/vXqsdM91/#/
OpoxKP18;BRAZIL;SERIE B;2011;21.05.2011;Boa;Parana;0;0;1;2;;;2.25;3.4;3.1;1.85;1.5;https://www.flashscore.com/match/OpoxKP18/#/
YwNX8ag7;BRAZIL;SERIE B;2011;24.05.2011;Parana;Portuguesa;1;0;1;1;8;72;2.5;3.3;2.6;1.95;1.5;https://www.flashscore.com/match/YwNX8ag7/#/
jFXS9uv1;BRAZIL;SERIE B;2011;24.05.2011;ASA;Guaratingueta;0;0;2;1;;;2.0;3.4;3.5;1.95;1.5;https://www.flashscore.com/match/jFXS9uv1/#/
CULy8J8D;BRAZIL;SERIE B;2011;27.05.2011;Vila Nova FC;Ponte Preta;1;1;3;1;14;49;86;19;2.29;3.4;2.7;1.8;1.5;https://www.flashscore.com/match/CULy8J8D/#/
WAlpI3WK;BRAZIL;SERIE B;2011;27.05.2011;Sao Caetano;Boa;0;1;0;2;;;1.4;4.5;6.0;1.8;1.5;https://www.flashscore.com/match/WAlpI3WK/#/
xCTOALOf;BRAZIL;SERIE B;2011;27.05.2011;Barueri;Bragantino;0;1;3;2;;;1.95;3.4;3.5;1.9;1.5;https://www.flashscore.com/match/xCTOALOf/#/
rkUKB19l;BRAZIL;SERIE B;2011;28.05.2011;Nautico;Goias;0;0;1;0;;;2.29;3.2;2.75;1.85;1.5;https://www.flashscore.com/match/rkUKB19l/#/
42wSW2oE;BRAZIL;SERIE B;2011;28.05.2011;Icasa;Vitoria;2;0;3;1;;;2.15;3.2;2.9;2.04;1.5;https://www.flashscore.com/match/42wSW2oE/#/
A1mlHNoR;BRAZIL;SERIE B;2011;28.05.2011;Guarani;Sport Recife;1;0;1;1;;;1.95;3.25;3.5;1.95;1.5;https://www.flashscore.com/match/A1mlHNoR/#/
0t78Csfr;BRAZIL;SERIE B;2011;28.05.2011;Duque de Caxias;Criciuma;0;2;1;2;;;2.1;3.2;3.1;1.9;1.5;https://www.flashscore.com/match/0t78Csfr/#/
tS0eFzGt;BRAZIL;SERIE B;2011;28.05.2011;ABC;Salgueiro;1;0;1;1;;;1.53;3.75;5.0;1.85;1.5;https://www.flashscore.com/match/tS0eFzGt/#/
CdGKBhF5;BRAZIL;SERIE B;2011;31.05.2011;Sport Recife;Barueri;1;0;1;0;;;1.67;3.8;5.0;1.85;1.5;https://www.flashscore.com/match/CdGKBhF5/#/
GlDy8AEU;BRAZIL;SERIE B;2011;31.05.2011;Goias;ASA;1;0;4;1;;;1.4;4.5;7.5;1.65;1.5;https://www.flashscore.com/match/GlDy8AEU/#/
OK1fSDan;BRAZIL;SERIE B;2011;03.06.2011;Vitoria;Guarani;0;0;0;1;;;1.65;3.6;5.25;1.8;1.5;https://www.flashscore.com/match/OK1fSDan/#/
Ojj0EfVn;BRAZIL;SERIE B;2011;03.06.2011;Portuguesa;ABC;2;3;2;3;;;1.53;4.0;6.0;1.75;1.5;https://www.flashscore.com/match/Ojj0EfVn/#/
Umg8CYaa;BRAZIL;SERIE B;2011;03.06.2011;Bragantino;Sao Caetano;0;1;1;2;;;2.25;3.5;3.0;1.95;1.5;https://www.flashscore.com/match/Umg8CYaa/#/
8O9T9WqI;BRAZIL;SERIE B;2011;04.06.2011;Salgueiro;Duque de Caxias;1;0;2;0;;;2.29;3.4;3.0;1.95;1.5;https://www.flashscore.com/match/8O9T9WqI/#/
zRg4DEpg;BRAZIL;SERIE B;2011;04.06.2011;Ponte Preta;Icasa;4;0;4;1;;;1.57;4.0;5.5;1.85;1.5;https://www.flashscore.com/match/zRg4DEpg/#/
UXAPACUB;BRAZIL;SERIE B;2011;04.06.2011;Guaratingueta;Parana;0;0;1;0;;;1.91;3.4;4.0;1.8;1.5;https://www.flashscore.com/match/UXAPACUB/#/
2o9X8jaO;BRAZIL;SERIE B;2011;04.06.2011;Criciuma;Nautico;0;0;0;0;;;1.7;3.6;5.0;1.8;1.5;https://www.flashscore.com/match/2o9X8jaO/#/
pU2jTgpt;BRAZIL;SERIE B;2011;04.06.2011;Boa;Vila Nova FC;0;0;0;0;;;2.1;3.25;3.5;1.85;1.5;https://www.flashscore.com/match/pU2jTgpt/#/
IPRiuiqh;BRAZIL;SERIE B;2011;07.06.2011;ABC;Goias;0;0;2;0;;;1.91;3.4;4.0;1.95;0.5;https://www.flashscore.com/match/IPRiuiqh/#/
Wp1bRXEh;BRAZIL;SERIE B;2011;08.06.2011;Sao Caetano;Ponte Preta;1;0;1;1;;;2.7;3.25;2.6;1.95;0.5;https://www.flashscore.com/match/Wp1bRXEh/#/
0AAWLTrU;BRAZIL;SERIE B;2011;10.06.2011;Parana;Salgueiro;1;0;1;0;;;1.6;3.75;5.75;2.0;0.5;https://www.flashscore.com/match/0AAWLTrU/#/
Ay02QiUb;BRAZIL;SERIE B;2011;10.06.2011;Guarani;Boa;0;0;2;0;;;1.53;4.0;6.0;1.95;0.5;https://www.flashscore.com/match/Ay02QiUb/#/
h0k7PBq5;BRAZIL;SERIE B;2011;10.06.2011;Duque de Caxias;Vitoria;1;1;2;3;;;2.8;3.25;2.5;2.0;0.5;https://www.flashscore.com/match/h0k7PBq5/#/
2JdbHmio;BRAZIL;SERIE B;2011;11.06.2011;Vila Nova FC;Criciuma;1;0;2;0;;;2.04;3.3;3.75;1.85;0.5;https://www.flashscore.com/match/2JdbHmio/#/
ALHJOVbB;BRAZIL;SERIE B;2011;11.06.2011;Nautico;Bragantino;1;0;2;2;;;1.5;4.0;7.0;1.85;0.5;https://www.flashscore.com/match/ALHJOVbB/#/
